review,rating,date,bank,source,sentiment_score,sentiment_label
Very helpful! So I can watch my account.,5,2025-11-25,Bank of Abyssinia,Google Play,0.5244,positive
Reliable and quick to respond. Generally clear & easy to use for most everyday needs such as checking balances and transferring between accounts etc. I like that biometric sign-in is possible as it is easier to use and feels.more secure than passwords & PIN.,5,2025-11-25,Bank of Abyssinia,Google Play,0.9042,positive
"Love the App! Easy to use and even breaks down spending categories, showing you what you're spending on each month and provides tools to set and structure a Budget if you'd like! 🙂👍",5,2025-11-25,Bank of Abyssinia,Google Play,0.9168,positive
Excellent! Does exactly what I want in a banking app. Don't change a thing.,5,2025-11-25,Bank of Abyssinia,Google Play,0.6476,positive
super,5,2025-11-25,Bank of Abyssinia,Google Play,0.5994,positive
"you schld have diff colors per transaction but B/A is too cheap! black fr existing, red fr deduction and blue fr addition. also you don't have ""both"" +- sign and - is too small. These +- signs schld be in bold and bigger.",1,2025-11-25,Bank of Abyssinia,Google Play,0.5707,positive
Great app! Navigation feels intuitive and the interface is easy to read and understand. I use it daily.,5,2025-11-25,Bank of Abyssinia,Google Play,0.807,positive
Works very well and easy to use.,5,2025-11-25,Bank of Abyssinia,Google Play,0.6764,positive
"B of A, always updating this app, is not a good idea. A simple Transfer Payment that I used to be able to do in one step now requires 3 or 4 steps.",3,2025-11-25,Bank of Abyssinia,Google Play,-0.3412,negative
love banking with y'all only problem is wish y'all do two days early and also over drafting,5,2025-11-25,Bank of Abyssinia,Google Play,0.6369,positive
I like the app overall.,4,2025-11-25,Bank of Abyssinia,Google Play,0.3612,positive
easy to use,4,2025-11-25,Bank of Abyssinia,Google Play,0.4404,positive
"good, fast, easy.",5,2025-11-25,Bank of Abyssinia,Google Play,0.7003,positive
"I guess my phobe is older, I wish the software update reminder would give me a due date",3,2025-11-25,Bank of Abyssinia,Google Play,0.4019,positive
Very user-friendly.,5,2025-11-25,Bank of Abyssinia,Google Play,0.0,neutral
EXCELLENT,5,2025-11-25,Bank of Abyssinia,Google Play,0.5719,positive
very easy for me,5,2025-11-25,Bank of Abyssinia,Google Play,0.4927,positive
I love this app but for deposits it's not l said not sure bcuz my check is not cleared d next day. But overall d app is very good nd BOA is a great bank,5,2025-11-25,Bank of Abyssinia,Google Play,0.8143,positive
Easy to understand. plus good service.,5,2025-11-25,Bank of Abyssinia,Google Play,0.7003,positive
used to work great...now not so much. keeps turning off biometrics,3,2025-11-25,Bank of Abyssinia,Google Play,0.0,neutral
user friendly,5,2025-11-25,Bank of Abyssinia,Google Play,0.4939,positive
Works well. Good features and reliability.,5,2025-11-25,Bank of Abyssinia,Google Play,0.6124,positive
Unable to use check deposit from phone. Spent countless attempts for such a simple task which now requires the visit to a nearby branch to attempt. Maybe time to shop around for a new banker,1,2025-11-25,Bank of Abyssinia,Google Play,0.0,neutral
easy to do a transaction really helpful,5,2025-11-25,Bank of Abyssinia,Google Play,0.7178,positive
Where is my activity? I see no transactions. Of all the bank apps I have this is the most frustrating.,1,2025-11-25,Bank of Abyssinia,Google Play,-0.659,negative
Lousy app. Autopayments are difficult to find. Locating the amounts of autopayments is difficult. AI bot doesn't answer the most basic questions. My Chase account is so much easier to navigate (I don't work for Chase). You have to work through a bunch of steps to get to your account even if you only have one. It's like Bank of America WANTS you to make your payment late.,2,2025-11-25,Bank of Abyssinia,Google Play,-0.4445,negative
"love it, quick access ti my account, seeing monthly spending just awesome.",5,2025-11-25,Bank of Abyssinia,Google Play,0.8519,positive
Love the crashes. Perfect,1,2025-11-25,Bank of Abyssinia,Google Play,0.836,positive
fantastic,5,2025-11-25,Bank of Abyssinia,Google Play,0.5574,positive
"not sure, my first time using it",3,2025-11-25,Bank of Abyssinia,Google Play,-0.2411,negative
ok,5,2025-11-25,Bank of Abyssinia,Google Play,0.296,positive
been with them since 1987 it's great,5,2025-11-25,Bank of Abyssinia,Google Play,0.6249,positive
Always works and very convenient if I have questions.,5,2025-11-25,Bank of Abyssinia,Google Play,0.0,neutral
Great job,5,2025-11-25,Bank of Abyssinia,Google Play,0.6249,positive
My experience with the mobile app has been very positive. I prefer to use the mobile app more then I do the desk top version.,5,2025-11-25,Bank of Abyssinia,Google Play,0.6901,positive
I downloaded usually I don't. use it. because I need to send money. the dang app is crashing never had this issue. this why I don't like bank apps not safe,1,2025-11-25,Bank of Abyssinia,Google Play,-0.5448,negative
I Love this app. it makes things easier...,5,2025-11-25,Bank of Abyssinia,Google Play,0.7906,positive
Keeps saying will be installed but nothing happens,1,2025-11-25,Bank of Abyssinia,Google Play,0.0,neutral
Great!!,4,2025-11-25,Bank of Abyssinia,Google Play,0.6892,positive
works good,5,2025-11-25,Bank of Abyssinia,Google Play,0.4404,positive
Great app. Easy to use and all the services are available.,5,2025-11-24,Bank of Abyssinia,Google Play,0.7906,positive
"This app is very user-friendly and it's always up and running!!! I have banked with Bank of America since 1967. It's had a few name changes along the way but, never any problems all those years.",5,2025-11-24,Bank of Abyssinia,Google Play,0.5808,positive
I appreciate my Bank of America on customer satisfaction and helping me reach my goals in life!!,5,2025-11-24,Bank of Abyssinia,Google Play,0.8168,positive
B O A is my banking since 1965.,5,2025-11-24,Bank of Abyssinia,Google Play,0.0,neutral
Always let's me know what is going on.,5,2025-11-24,Bank of Abyssinia,Google Play,0.0,neutral
👍,5,2025-11-24,Bank of Abyssinia,Google Play,0.0,neutral
I really like how easy it is to navigate the B of A app. I like how they subtract each transaction from your balance daily as you go along. This is a much better app than one for a different bank I have. They only tell you the beginning balance and ending balance. It would be great if when you transferred money from one account to another you were able to have a memo section to put down the reason. It would help when you go back to look at it later to know what it was used for.,5,2025-11-24,Bank of Abyssinia,Google Play,0.9528,positive
the staff is very caring and helpful,5,2025-11-24,Bank of Abyssinia,Google Play,0.762,positive
very easy to use and secure,5,2025-11-24,Bank of Abyssinia,Google Play,0.6801,positive
login changed and locked me out of my account for days,2,2025-11-24,Bank of Abyssinia,Google Play,0.0,neutral
It's a very easy to use app. Continue to improve and offer great customer service. Thanks staff of BOA.,5,2025-11-24,Bank of Abyssinia,Google Play,0.92,positive
works well most of the time.,4,2025-11-24,Bank of Abyssinia,Google Play,0.2732,positive
"over engineered and poor navigation, that is specifically designed to make it difficult to pay your credit card statement.",1,2025-11-24,Bank of Abyssinia,Google Play,-0.5267,negative
There doesn't appear to be an option to make an ACH transfer to an external account. Insane that they don't have that feature in 2025. It's so basic.,2,2025-11-24,Bank of Abyssinia,Google Play,-0.4019,negative
Great at keeping me up to date!,5,2025-11-24,Bank of Abyssinia,Google Play,0.6588,positive
"Trying to send wire transfers is difficult and won't allow me to choose desired country, or any country from the list. I can't change info for recipient as well.",4,2025-11-24,Bank of Abyssinia,Google Play,0.0088,neutral
Does not allow wire transfers to foreign countries although the email you sent me said that it would.,4,2025-11-24,Bank of Abyssinia,Google Play,-0.1695,negative
does a good job at the basics,5,2025-11-24,Bank of Abyssinia,Google Play,0.4404,positive
these people are thieves and liars all they do is destroy and take money from you any little way they can. They CAUSED my over draft!!! by putting 3 charges of samething from seaworld on it but it NEVER WENT THROUGH!!! Then charged me for an overdraft YOU DIDNT ALLOW THE MONEY TO GO THROUGH TO PAY FOR THE TICKETS!!!,1,2025-11-24,Bank of Abyssinia,Google Play,-0.9329,negative
not easily understood as far as account names,3,2025-11-24,Bank of Abyssinia,Google Play,-0.2584,negative
The app is great. I think I have only gone into my local branch 3 x in the last 8 years. Get a bankers draft and advice. Most things can be done with the app.,5,2025-11-24,Bank of Abyssinia,Google Play,0.6249,positive
Easy to navigate through the app.,5,2025-11-24,Bank of Abyssinia,Google Play,0.4404,positive
The process that BofA makes you do to move MY money out is ridiculous,1,2025-11-24,Bank of Abyssinia,Google Play,-0.3612,negative
I love the convenience of banking from my phone. The mobile check deposit feature is the best!,5,2025-11-24,Bank of Abyssinia,Google Play,0.8655,positive
Not accurate ...causing me to be overdrawn. Today Nov 18 2023. App errors causing fees. (2025). BofA live chat useless. Long wait for phone support. Branch is under employed (make an appointment for another day).,1,2025-11-24,Bank of Abyssinia,Google Play,-0.3612,negative
love it,5,2025-11-24,Bank of Abyssinia,Google Play,0.6369,positive
absolutely love this,5,2025-11-24,Bank of Abyssinia,Google Play,0.6697,positive
"No ads, easy to use, I recommend 👌",5,2025-11-24,Bank of Abyssinia,Google Play,0.6158,positive
Always dependable,5,2025-11-24,Bank of Abyssinia,Google Play,0.0,neutral
Love It ❤ The Best Bank Ever!!!!!,5,2025-11-24,Bank of Abyssinia,Google Play,0.941,positive
easy to use. very precise,4,2025-11-24,Bank of Abyssinia,Google Play,0.4404,positive
well i was with bank of America since 1970 and never had a bad experience,5,2025-11-24,Bank of Abyssinia,Google Play,0.6059,positive
Always Good,5,2025-11-24,Bank of Abyssinia,Google Play,0.4404,positive
it would be a perfect app if it could deduct my bill pays from my balance right away instead of two three days later,2,2025-11-24,Bank of Abyssinia,Google Play,0.5719,positive
setting up a one-time auto payment can be very confusing. would prefer it if scheduled payments reflected whether statement balance or total account is paid in full when using my 'droid.,4,2025-11-24,Bank of Abyssinia,Google Play,-0.2944,negative
I've found a few things that are a bit confusing,4,2025-11-24,Bank of Abyssinia,Google Play,-0.2263,negative
Perfect,5,2025-11-24,Bank of Abyssinia,Google Play,0.5719,positive
Easy to navigate.,5,2025-11-24,Bank of Abyssinia,Google Play,0.4404,positive
very reliable and eazy to navigate.,5,2025-11-24,Bank of Abyssinia,Google Play,0.0,neutral
Love it,5,2025-11-24,Bank of Abyssinia,Google Play,0.6369,positive
very expeditious,5,2025-11-24,Bank of Abyssinia,Google Play,0.0,neutral
really good bank l love banking with you and if l ever needed anything you have always taken care of my personal needs thanks for the excellent experience with you concerning my banking needs,5,2025-11-24,Bank of Abyssinia,Google Play,0.9734,positive
works just fine.,5,2025-11-24,Bank of Abyssinia,Google Play,0.2023,positive
"no complaints, I can check account balances without going to the bank or 🏧, I love it, all service I am getting from it",5,2025-11-23,Bank of Abyssinia,Google Play,0.7549,positive
outstanding. Thanks B of A,5,2025-11-23,Bank of Abyssinia,Google Play,0.7845,positive
- Blocks autofill from my vault - Asks to remember username every time - Doesn't support MFA via an authenticator,2,2025-11-23,Bank of Abyssinia,Google Play,-0.4867,negative
"nice app, functional & easy to use.",5,2025-11-23,Bank of Abyssinia,Google Play,0.6908,positive
easy and clear how to use,5,2025-11-23,Bank of Abyssinia,Google Play,0.6705,positive
Difficult to navigate. cannot get straight to desired info without going thru multiple pages.,4,2025-11-23,Bank of Abyssinia,Google Play,-0.2654,negative
very good,5,2025-11-23,Bank of Abyssinia,Google Play,0.4927,positive
Fast and easy to use,5,2025-11-23,Bank of Abyssinia,Google Play,0.4404,positive
why can't I pick a one time payment amount for my boa credit card?,3,2025-11-23,Bank of Abyssinia,Google Play,0.3818,positive
there mist be a big in the app,1,2025-11-23,Bank of Abyssinia,Google Play,0.0,neutral
"easy, convenient, reliable",5,2025-11-23,Bank of Abyssinia,Google Play,0.4404,positive
There no ability to see past zelle payments in zelle.,1,2025-11-23,Bank of Abyssinia,Google Play,-0.2411,negative
Bank of America makes a difference. Your professionalism was greatly appreciated. Thank you for your service!,5,2025-11-23,Bank of Abyssinia,Google Play,0.7693,positive
it's very convenient,5,2025-11-23,Bank of Abyssinia,Google Play,0.0,neutral
nice,5,2025-11-23,Bank of Abyssinia,Google Play,0.4215,positive
Stephenie is a blessing.,5,2025-11-23,Bank of Abyssinia,Google Play,0.4939,positive
ok,5,2025-11-23,Bank of Abyssinia,Google Play,0.296,positive
easy to use.,5,2025-11-23,Bank of Abyssinia,Google Play,0.4404,positive
"Great app. Offering quick, convenient banking, day or night. Thank you..",5,2025-11-23,Bank of Abyssinia,Google Play,0.765,positive
Excellent,5,2025-11-23,Bank of Abyssinia,Google Play,0.5719,positive
"A great tool, easy to use.",5,2025-11-23,Bank of Abyssinia,Google Play,0.7906,positive
I love the experience I've had with banking at BOA.,5,2025-11-23,Bank of Abyssinia,Google Play,0.6369,positive
I love my mobile banking,5,2025-11-23,Bank of Abyssinia,Google Play,0.6369,positive
"I've received 50 years of great service from BofA. BofA's, ""Online Bill Pay"", is the best thing that ever happened! It's made life simple and easy. Thanks!",5,2025-11-23,Bank of Abyssinia,Google Play,0.9358,positive
Paying credit card account with another bank... adding that payment bank; is more difficult than my local credit union. I've banked with 15+ banks. BOA is the most pain in the butt for such a simple and routine task.,1,2025-11-23,Bank of Abyssinia,Google Play,-0.2928,negative
Very easy to use!,5,2025-11-23,Bank of Abyssinia,Google Play,0.54,positive
Great app.,5,2025-11-23,Bank of Abyssinia,Google Play,0.6249,positive
"Excellent, no adds, easy , and no problem .",5,2025-11-23,Bank of Abyssinia,Google Play,0.3296,positive
It's always fast and easy to use. Highly recommend. Great app!!,5,2025-11-23,Bank of Abyssinia,Google Play,0.8923,positive
"I'm unable to use the app, it crashes right away after an update. Previously I used it for years with minimal issues. What went wrong? Please help me get back to online banking!! update : they fixed that version, it worked after",4,2025-11-23,Bank of Abyssinia,Google Play,0.3578,positive
love it it's so cutting edge love the app!!! Love the app its great. Amazing technology so easy to look in real time,5,2025-11-23,Bank of Abyssinia,Google Play,0.9772,positive
"Fast,linked, sync, good prompt",3,2025-11-23,Bank of Abyssinia,Google Play,0.4404,positive
"Excellent. Professional, secure, functionality and intuitive. Perfect.",5,2025-11-23,Bank of Abyssinia,Google Play,0.8689,positive
user friendly and efficient,5,2025-11-23,Bank of Abyssinia,Google Play,0.7184,positive
simple and quick,5,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
horrible,1,2025-11-22,Bank of Abyssinia,Google Play,-0.5423,negative
Very helpful and thankful I don't have to go online every time.,5,2025-11-22,Bank of Abyssinia,Google Play,0.7939,positive
App is not on my phone.,1,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
exceptional,5,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
"works like it's supported to, thank you.",5,2025-11-22,Bank of Abyssinia,Google Play,0.743,positive
Fave banking app. Easiest to understand and always helpful if there's a questionable charge.,5,2025-11-22,Bank of Abyssinia,Google Play,0.743,positive
The most beautifil app. Doing your banking and checking your balance from your seat at home,5,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
at times not easy to use and complicated,3,2025-11-22,Bank of Abyssinia,Google Play,-0.3412,negative
satisfactory,5,2025-11-22,Bank of Abyssinia,Google Play,0.3612,positive
good,4,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
"This app is confusing and malfunctions. For example if I need to see rewards for last statement and hit save, it still defaults to current statement. This is one of several issues this app has. Time for massive overhaul. See what Chase is doing.",3,2025-11-22,Bank of Abyssinia,Google Play,0.6597,positive
"The app doesn't work at all. I believe it's merely there for show. Really, can you not do any better than this? At least the website will work a little bit.",5,2025-11-22,Bank of Abyssinia,Google Play,-0.3412,negative
easy to use.,5,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
Easy & faster.,5,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
Excellent services,5,2025-11-22,Bank of Abyssinia,Google Play,0.5719,positive
The best 👌,5,2025-11-22,Bank of Abyssinia,Google Play,0.8842,positive
Always right.,5,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
Very good and easy to follow up. Good and practical to use,5,2025-11-22,Bank of Abyssinia,Google Play,0.8503,positive
unable to see Total picture of pymts.,3,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
"new to this but great so far, still a great way to Bank 🏧",5,2025-11-22,Bank of Abyssinia,Google Play,0.9231,positive
"me encanta la seguridad y lo intuitivo del sistema, y lo integrado que está con la plataforma",5,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
great,5,2025-11-22,Bank of Abyssinia,Google Play,0.6249,positive
Easy to use app!,5,2025-11-22,Bank of Abyssinia,Google Play,0.4926,positive
I've had no problems with the Bank of America app makes it easier and faster to check on my account.,5,2025-11-22,Bank of Abyssinia,Google Play,0.6197,positive
love being able to help my granddaughter when she needs it,5,2025-11-22,Bank of Abyssinia,Google Play,0.7845,positive
long standing customer.Well pleased.,5,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
no problems what so ever using this app.,5,2025-11-22,Bank of Abyssinia,Google Play,0.3089,positive
"Easy to install & really easy & convenient to use! Thanx BofA!😊👍 PS. only thing it needs is a DARK MODE, PLEASE.",5,2025-11-22,Bank of Abyssinia,Google Play,0.9404,positive
muy facil para usar.,5,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
"Been having problems with the app. All I can do is look up credit card balance, transactions, and pay the balance, but none of the other links work and the AI is not helpful.",3,2025-11-22,Bank of Abyssinia,Google Play,-0.502,negative
easy to use and navigate,4,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
exactly what I need and everything is easy,5,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
excellent,5,2025-11-22,Bank of Abyssinia,Google Play,0.5719,positive
good,5,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
"Can do many things, but not all, like Stopping an ACH Payment. UPDATE: I love Zelle. It's easy and I can trust it with bank level security and no fees. Yay!",5,2025-11-22,Bank of Abyssinia,Google Play,0.9007,positive
"I've been using this app for many years now, and honestly, it's been working great, I can get all my needs done and it's very user friendly! great app!!",5,2025-11-22,Bank of Abyssinia,Google Play,0.9503,positive
so far awesome a newbie here but learning as I go seems to be guiding me along peacefully so far ><> 😊 <>< FHL...,5,2025-11-22,Bank of Abyssinia,Google Play,0.9492,positive
"Great app all around. I appreciate the custom alerts. Everything works smoothly. Very handy, particularly for those of us who live in rural areas. I had previously got scammed online and my Bank of America app caught it, before I did and locked my card so they could do no further damage. Thank you!",5,2025-11-22,Bank of Abyssinia,Google Play,0.8756,positive
Excellent! Class of the field.,5,2025-11-22,Bank of Abyssinia,Google Play,0.6114,positive
very well run app can manage thru without any inconvenience,5,2025-11-22,Bank of Abyssinia,Google Play,0.5428,positive
awesome,5,2025-11-22,Bank of Abyssinia,Google Play,0.6249,positive
You guys are awesome you do your job right.,5,2025-11-22,Bank of Abyssinia,Google Play,0.6249,positive
good service,5,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
very good,5,2025-11-22,Bank of Abyssinia,Google Play,0.4927,positive
very good and easy to use I would say it is excellent,5,2025-11-22,Bank of Abyssinia,Google Play,0.8766,positive
this is a very user friendly app.,5,2025-11-22,Bank of Abyssinia,Google Play,0.539,positive
it's just like Google. Everytime they make an update everything gets more complicated and harder to get done what you want to do.,1,2025-11-22,Bank of Abyssinia,Google Play,0.4215,positive
Easy to access. Very easy to use.,5,2025-11-22,Bank of Abyssinia,Google Play,0.7264,positive
ease of use and very secure,5,2025-11-22,Bank of Abyssinia,Google Play,0.6361,positive
"l am sooooo grateful for this APP. With the option to call or check my info online, l love what this APP offers me. Thank you for your services.",5,2025-11-22,Bank of Abyssinia,Google Play,0.9403,positive
slow as hale.,1,2025-11-22,Bank of Abyssinia,Google Play,0.0,neutral
love it,5,2025-11-22,Bank of Abyssinia,Google Play,0.6369,positive
I want my old password,5,2025-11-22,Bank of Abyssinia,Google Play,0.0772,positive
Easy to use Does what I need it to do,5,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
the app is easy to use except it usually asks for a darker background despite using a dark background. Sometimes it doesn't recognize the front of a business check and requires actually taking a photo.,4,2025-11-22,Bank of Abyssinia,Google Play,0.4404,positive
Always great,5,2025-11-22,Bank of Abyssinia,Google Play,0.6249,positive
works best,5,2025-11-21,Bank of Abyssinia,Google Play,0.6369,positive
"As a long-standing customer of Bank of America, I highly value this application, which offers comprehensive functionalities comparable to in-person banking services, with the exception of cash withdrawals, though I suspect a solution for that may exist. I particularly appreciate its user-friendliness, ease of use, and additional benefits such as the temporary debit card feature. This functionality significantly enhances account security. I would most definitely recommend it.",5,2025-11-21,Bank of Abyssinia,Google Play,0.9587,positive
"Thank you for making this app so easy to use, this app really helps make things easier for me, your updates are nice and easy, I liked the old way of doing Zelle it just seemed easier and I truly appreciate the way you notify me of possible fraud. I am so grateful that my sister's talked me into switching to BOA so many years ago because this is by far the best bank I ever had. Thank you for all that you do for me",5,2025-11-21,Bank of Abyssinia,Google Play,0.9868,positive
with this app I have a seamless experience I highly recommend it 😊,5,2025-11-21,Bank of Abyssinia,Google Play,0.8425,positive
Easy peezy,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
"Annoying. Stop annoying me with ads, offers, and to rate the app. Regardless if that's ""how the world works"" by doing such things. It's still annoying. You want me to rate it so badly? Well here you go. edit: it just asked me again... now I'm gonna just answer 'no' to all the questions it bugs me for. like, 'no', the content of the app isn't in english, lol.",1,2025-11-21,Bank of Abyssinia,Google Play,-0.8871,negative
it's tremendous i like it.,5,2025-11-21,Bank of Abyssinia,Google Play,0.4173,positive
easy to use,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
simple and safe app.,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
Easy to use app with all the options you need.,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
cannot list deposits separately.,2,2025-11-21,Bank of Abyssinia,Google Play,0.0,neutral
Excellent!! I love B 9f A,5,2025-11-21,Bank of Abyssinia,Google Play,0.8585,positive
Alerts are always wrong. (ex) Today my balance is 468. The alert says it 770. Always late w deductions.,4,2025-11-21,Bank of Abyssinia,Google Play,-0.2263,negative
always easy to access,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
Easy app. Like it,5,2025-11-21,Bank of Abyssinia,Google Play,0.6597,positive
app very easy to maneuver around in,5,2025-11-21,Bank of Abyssinia,Google Play,0.4927,positive
very conventional,5,2025-11-21,Bank of Abyssinia,Google Play,0.0,neutral
Show the Digits at sign IN,3,2025-11-21,Bank of Abyssinia,Google Play,0.0,neutral
Features are limited.,2,2025-11-21,Bank of Abyssinia,Google Play,-0.2263,negative
Easy to navigate,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
Bank of America works great for me.They always keep tabs on my account so it does not get hacked.,5,2025-11-21,Bank of Abyssinia,Google Play,0.7475,positive
The best mobile banking app,5,2025-11-21,Bank of Abyssinia,Google Play,0.6369,positive
great bank appp but still limited,5,2025-11-21,Bank of Abyssinia,Google Play,0.0516,positive
happy,5,2025-11-21,Bank of Abyssinia,Google Play,0.5719,positive
always easy,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
I love my bank,5,2025-11-21,Bank of Abyssinia,Google Play,0.6369,positive
easy to follow,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
"Its one of the easiest banking apps to use. Edit 11.21.25. Still a good app, but it will force close alot .",3,2025-11-21,Bank of Abyssinia,Google Play,0.431,positive
excellente bank app,5,2025-11-21,Bank of Abyssinia,Google Play,0.0,neutral
I love the BOA app! It's easy and convenient.,5,2025-11-21,Bank of Abyssinia,Google Play,0.8122,positive
the experience was helpful.,4,2025-11-21,Bank of Abyssinia,Google Play,0.4215,positive
best app,5,2025-11-21,Bank of Abyssinia,Google Play,0.6369,positive
a good one,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
great,5,2025-11-21,Bank of Abyssinia,Google Play,0.6249,positive
Has been a good and safe app. As of the most recent Google updates the app has stopped working correctly. Whenever I'm through with my transactions and click done the whole app closes every time. Very unhappy because I liked the program and relied on it heavily. I hope there is a fix soon,2,2025-11-21,Bank of Abyssinia,Google Play,0.7584,positive
buena,4,2025-11-21,Bank of Abyssinia,Google Play,0.0,neutral
I like the service I get from the Bank and also very good with the app itself,5,2025-11-21,Bank of Abyssinia,Google Play,0.6901,positive
I use this app and its features almost daily. Bill Pay was recently downgraded so that you cannot download scheduled payments in the format as checking transitions. That was a serious step backwards for the app,4,2025-11-21,Bank of Abyssinia,Google Play,-0.1119,negative
"Easy, complete, effective, informative, clear, practical.",5,2025-11-21,Bank of Abyssinia,Google Play,0.8225,positive
"Simple, smart app!",5,2025-11-21,Bank of Abyssinia,Google Play,0.4574,positive
very good thanks,5,2025-11-21,Bank of Abyssinia,Google Play,0.7485,positive
The worst bank app ever. There's no way to set up the autopay and i was charged twice for late pay. I'll close it until i hear the autopay can be set in BOA!,1,2025-11-21,Bank of Abyssinia,Google Play,-0.8313,negative
"why are new updates made not to be compatible on older phones, not everyone can afford phones over 1k",1,2025-11-21,Bank of Abyssinia,Google Play,0.0,neutral
Very easy to use great app convenient good to do ur banking,5,2025-11-21,Bank of Abyssinia,Google Play,0.8805,positive
easy and helpful,5,2025-11-21,Bank of Abyssinia,Google Play,0.6908,positive
Is good app,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
not now but for sure I will in the future.,5,2025-11-21,Bank of Abyssinia,Google Play,0.4497,positive
"App sucks. cannot even get all transactions within 30 or 60 days. Hardest time finding anything, even customer service number.",2,2025-11-21,Bank of Abyssinia,Google Play,-0.296,negative
good so far,5,2025-11-21,Bank of Abyssinia,Google Play,0.4404,positive
completely amazing banking app,5,2025-11-21,Bank of Abyssinia,Google Play,0.624,positive
best bank ever!,5,2025-11-21,Bank of Abyssinia,Google Play,0.6696,positive
Simplicity,5,2025-11-21,Bank of Abyssinia,Google Play,0.0,neutral
Great and very useful and easy to navigate.,5,2025-11-20,Bank of Abyssinia,Google Play,0.8874,positive
please remove insights and all virtual assistance,4,2025-11-20,Bank of Abyssinia,Google Play,0.3182,positive
Secure and easy to use,5,2025-11-20,Bank of Abyssinia,Google Play,0.6486,positive
I like that I can transfer and check my accounts without going into my computer. I use this app quite a bit and I am happy with it. It's great for quick checking of transactions; if they came through and also I check to make sure transactions are correct. I have also been able to cash a check and do a transfer on the app.,5,2025-11-20,Bank of Abyssinia,Google Play,0.9118,positive
I can't use it,1,2025-11-20,Bank of Abyssinia,Google Play,0.0,neutral
Great card,5,2025-11-20,Bank of Abyssinia,Google Play,0.6249,positive
"Easy, fast, and economic.",5,2025-11-20,Bank of Abyssinia,Google Play,0.4404,positive
whew! Appreciate the extra help.,5,2025-11-20,Bank of Abyssinia,Google Play,0.69,positive
outstanding,5,2025-11-20,Bank of Abyssinia,Google Play,0.6124,positive
Great 👍,5,2025-11-20,Bank of Abyssinia,Google Play,0.6249,positive
Always positive,5,2025-11-20,Bank of Abyssinia,Google Play,0.5574,positive
good,5,2025-11-30,Commercial Bank of Ethiopia,Google Play,0.4404,positive
CBE ይለያል።,5,2025-11-29,Commercial Bank of Ethiopia,Google Play,0.0,neutral
it's special for me,5,2025-11-29,Commercial Bank of Ethiopia,Google Play,0.4019,positive
Make it user friendly.,2,2025-11-29,Commercial Bank of Ethiopia,Google Play,0.4939,positive
maaliif daddafee install gaafata,3,2025-11-28,Commercial Bank of Ethiopia,Google Play,0.0,neutral
good app,5,2025-11-28,Commercial Bank of Ethiopia,Google Play,0.4404,positive
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,0.5198,positive
why didn't work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,0.0,neutral
The app makes our life easier. Thank you CBE!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,0.68,positive
this app very bad 👎,1,2025-11-27,Commercial Bank of Ethiopia,Google Play,-0.5849,negative
the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play,0.6701,positive
Good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play,0.4404,positive
It is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play,0.4215,positive
best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,0.6369,positive
good app,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,0.4404,positive
