review,rating,date,bank,source
"This app is very user-friendly and it's always up and running!!! I have banked with Bank of America since 1967. It's had a few name changes along the way but, never any problems all those years.",5,2025-11-24,Bank of Abyssinia,Google Play
I appreciate my Bank of America on customer satisfaction and helping me reach my goals in life!!,5,2025-11-24,Bank of Abyssinia,Google Play
B O A is my banking since 1965.,5,2025-11-24,Bank of Abyssinia,Google Play
Always let's me know what is going on.,5,2025-11-24,Bank of Abyssinia,Google Play
👍,5,2025-11-24,Bank of Abyssinia,Google Play
I really like how easy it is to navigate the B of A app. I like how they subtract each transaction from your balance daily as you go along. This is a much better app than one for a different bank I have. They only tell you the beginning balance and ending balance. It would be great if when you transferred money from one account to another you were able to have a memo section to put down the reason. It would help when you go back to look at it later to know what it was used for.,5,2025-11-24,Bank of Abyssinia,Google Play
the staff is very caring and helpful,5,2025-11-24,Bank of Abyssinia,Google Play
very easy to use and secure,5,2025-11-24,Bank of Abyssinia,Google Play
login changed and locked me out of my account for days,2,2025-11-24,Bank of Abyssinia,Google Play
It's a very easy to use app. Continue to improve and offer great customer service. Thanks staff of BOA.,5,2025-11-24,Bank of Abyssinia,Google Play
works well most of the time.,4,2025-11-24,Bank of Abyssinia,Google Play
"over engineered and poor navigation, that is specifically designed to make it difficult to pay your credit card statement.",1,2025-11-24,Bank of Abyssinia,Google Play
There doesn't appear to be an option to make an ACH transfer to an external account. Insane that they don't have that feature in 2025. It's so basic.,2,2025-11-24,Bank of Abyssinia,Google Play
Great at keeping me up to date!,5,2025-11-24,Bank of Abyssinia,Google Play
"Trying to send wire transfers is difficult and won't allow me to choose desired country, or any country from the list. I can't change info for recipient as well.",4,2025-11-24,Bank of Abyssinia,Google Play
Does not allow wire transfers to foreign countries although the email you sent me said that it would.,4,2025-11-24,Bank of Abyssinia,Google Play
does a good job at the basics,5,2025-11-24,Bank of Abyssinia,Google Play
these people are thieves and liars all they do is destroy and take money from you any little way they can. They CAUSED my over draft!!! by putting 3 charges of samething from seaworld on it but it NEVER WENT THROUGH!!! Then charged me for an overdraft YOU DIDNT ALLOW THE MONEY TO GO THROUGH TO PAY FOR THE TICKETS!!!,1,2025-11-24,Bank of Abyssinia,Google Play
not easily understood as far as account names,3,2025-11-24,Bank of Abyssinia,Google Play
The app is great. I think I have only gone into my local branch 3 x in the last 8 years. Get a bankers draft and advice. Most things can be done with the app.,5,2025-11-24,Bank of Abyssinia,Google Play
Easy to navigate through the app.,5,2025-11-24,Bank of Abyssinia,Google Play
The process that BofA makes you do to move MY money out is ridiculous,1,2025-11-24,Bank of Abyssinia,Google Play
I love the convenience of banking from my phone. The mobile check deposit feature is the best!,5,2025-11-24,Bank of Abyssinia,Google Play
Not accurate ...causing me to be overdrawn. Today Nov 18 2023. App errors causing fees. (2025). BofA live chat useless. Long wait for phone support. Branch is under employed (make an appointment for another day).,1,2025-11-24,Bank of Abyssinia,Google Play
love it,5,2025-11-24,Bank of Abyssinia,Google Play
absolutely love this,5,2025-11-24,Bank of Abyssinia,Google Play
"No ads, easy to use, I recommend 👌",5,2025-11-24,Bank of Abyssinia,Google Play
Always dependable,5,2025-11-24,Bank of Abyssinia,Google Play
Love It ❤ The Best Bank Ever!!!!!,5,2025-11-24,Bank of Abyssinia,Google Play
easy to use. very precise,4,2025-11-24,Bank of Abyssinia,Google Play
well i was with bank of America since 1970 and never had a bad experience,5,2025-11-24,Bank of Abyssinia,Google Play
Always Good,5,2025-11-24,Bank of Abyssinia,Google Play
it would be a perfect app if it could deduct my bill pays from my balance right away instead of two three days later,2,2025-11-24,Bank of Abyssinia,Google Play
setting up a one-time auto payment can be very confusing. would prefer it if scheduled payments reflected whether statement balance or total account is paid in full when using my 'droid.,4,2025-11-24,Bank of Abyssinia,Google Play
I've found a few things that are a bit confusing,4,2025-11-24,Bank of Abyssinia,Google Play
Perfect,5,2025-11-24,Bank of Abyssinia,Google Play
Easy to navigate.,5,2025-11-24,Bank of Abyssinia,Google Play
very reliable and eazy to navigate.,5,2025-11-24,Bank of Abyssinia,Google Play
Love it,5,2025-11-24,Bank of Abyssinia,Google Play
very expeditious,5,2025-11-24,Bank of Abyssinia,Google Play
really good bank l love banking with you and if l ever needed anything you have always taken care of my personal needs thanks for the excellent experience with you concerning my banking needs,5,2025-11-24,Bank of Abyssinia,Google Play
works just fine.,5,2025-11-24,Bank of Abyssinia,Google Play
"no complaints, I can check account balances without going to the bank or 🏧, I love it, all service I am getting from it",5,2025-11-23,Bank of Abyssinia,Google Play
outstanding. Thanks B of A,5,2025-11-23,Bank of Abyssinia,Google Play
- Blocks autofill from my vault - Asks to remember username every time - Doesn't support MFA via an authenticator,2,2025-11-23,Bank of Abyssinia,Google Play
"nice app, functional & easy to use.",5,2025-11-23,Bank of Abyssinia,Google Play
easy and clear how to use,5,2025-11-23,Bank of Abyssinia,Google Play
Difficult to navigate. cannot get straight to desired info without going thru multiple pages.,4,2025-11-23,Bank of Abyssinia,Google Play
very good,5,2025-11-23,Bank of Abyssinia,Google Play
Fast and easy to use,5,2025-11-23,Bank of Abyssinia,Google Play
why can't I pick a one time payment amount for my boa credit card?,3,2025-11-23,Bank of Abyssinia,Google Play
there mist be a big in the app,1,2025-11-23,Bank of Abyssinia,Google Play
"easy, convenient, reliable",5,2025-11-23,Bank of Abyssinia,Google Play
There no ability to see past zelle payments in zelle.,1,2025-11-23,Bank of Abyssinia,Google Play
Bank of America makes a difference. Your professionalism was greatly appreciated. Thank you for your service!,5,2025-11-23,Bank of Abyssinia,Google Play
it's very convenient,5,2025-11-23,Bank of Abyssinia,Google Play
nice,5,2025-11-23,Bank of Abyssinia,Google Play
Stephenie is a blessing.,5,2025-11-23,Bank of Abyssinia,Google Play
ok,5,2025-11-23,Bank of Abyssinia,Google Play
easy to use.,5,2025-11-23,Bank of Abyssinia,Google Play
"Great app. Offering quick, convenient banking, day or night. Thank you..",5,2025-11-23,Bank of Abyssinia,Google Play
Excellent,5,2025-11-23,Bank of Abyssinia,Google Play
"A great tool, easy to use.",5,2025-11-23,Bank of Abyssinia,Google Play
I love the experience I've had with banking at BOA.,5,2025-11-23,Bank of Abyssinia,Google Play
I love my mobile banking,5,2025-11-23,Bank of Abyssinia,Google Play
"I've received 50 years of great service from BofA. BofA's, ""Online Bill Pay"", is the best thing that ever happened! It's made life simple and easy. Thanks!",5,2025-11-23,Bank of Abyssinia,Google Play
Paying credit card account with another bank... adding that payment bank; is more difficult than my local credit union. I've banked with 15+ banks. BOA is the most pain in the butt for such a simple and routine task.,1,2025-11-23,Bank of Abyssinia,Google Play
Very easy to use!,5,2025-11-23,Bank of Abyssinia,Google Play
Great app.,5,2025-11-23,Bank of Abyssinia,Google Play
"Excellent, no adds, easy , and no problem .",5,2025-11-23,Bank of Abyssinia,Google Play
It's always fast and easy to use. Highly recommend. Great app!!,5,2025-11-23,Bank of Abyssinia,Google Play
"I'm unable to use the app, it crashes right away after an update. Previously I used it for years with minimal issues. What went wrong? Please help me get back to online banking!! update : they fixed that version, it worked after",4,2025-11-23,Bank of Abyssinia,Google Play
love it it's so cutting edge love the app!!! Love the app its great. Amazing technology so easy to look in real time,5,2025-11-23,Bank of Abyssinia,Google Play
"Fast,linked, sync, good prompt",3,2025-11-23,Bank of Abyssinia,Google Play
"Excellent. Professional, secure, functionality and intuitive. Perfect.",5,2025-11-23,Bank of Abyssinia,Google Play
user friendly and efficient,5,2025-11-23,Bank of Abyssinia,Google Play
simple and quick,5,2025-11-22,Bank of Abyssinia,Google Play
horrible,1,2025-11-22,Bank of Abyssinia,Google Play
Very helpful and thankful I don't have to go online every time.,5,2025-11-22,Bank of Abyssinia,Google Play
App is not on my phone.,1,2025-11-22,Bank of Abyssinia,Google Play
exceptional,5,2025-11-22,Bank of Abyssinia,Google Play
"works like it's supported to, thank you.",5,2025-11-22,Bank of Abyssinia,Google Play
Fave banking app. Easiest to understand and always helpful if there's a questionable charge.,5,2025-11-22,Bank of Abyssinia,Google Play
The most beautifil app. Doing your banking and checking your balance from your seat at home,5,2025-11-22,Bank of Abyssinia,Google Play
at times not easy to use and complicated,3,2025-11-22,Bank of Abyssinia,Google Play
satisfactory,5,2025-11-22,Bank of Abyssinia,Google Play
good,4,2025-11-22,Bank of Abyssinia,Google Play
"This app is confusing and malfunctions. For example if I need to see rewards for last statement and hit save, it still defaults to current statement. This is one of several issues this app has. Time for massive overhaul. See what Chase is doing.",3,2025-11-22,Bank of Abyssinia,Google Play
"The app doesn't work at all. I believe it's merely there for show. Really, can you not do any better than this? At least the website will work a little bit.",5,2025-11-22,Bank of Abyssinia,Google Play
easy to use.,5,2025-11-22,Bank of Abyssinia,Google Play
Easy & faster.,5,2025-11-22,Bank of Abyssinia,Google Play
Excellent services,5,2025-11-22,Bank of Abyssinia,Google Play
The best 👌,5,2025-11-22,Bank of Abyssinia,Google Play
Always right.,5,2025-11-22,Bank of Abyssinia,Google Play
Very good and easy to follow up. Good and practical to use,5,2025-11-22,Bank of Abyssinia,Google Play
unable to see Total picture of pymts.,3,2025-11-22,Bank of Abyssinia,Google Play
"new to this but great so far, still a great way to Bank 🏧",5,2025-11-22,Bank of Abyssinia,Google Play
"me encanta la seguridad y lo intuitivo del sistema, y lo integrado que está con la plataforma",5,2025-11-22,Bank of Abyssinia,Google Play
great,5,2025-11-22,Bank of Abyssinia,Google Play
Easy to use app!,5,2025-11-22,Bank of Abyssinia,Google Play
I've had no problems with the Bank of America app makes it easier and faster to check on my account.,5,2025-11-22,Bank of Abyssinia,Google Play
love being able to help my granddaughter when she needs it,5,2025-11-22,Bank of Abyssinia,Google Play
long standing customer.Well pleased.,5,2025-11-22,Bank of Abyssinia,Google Play
no problems what so ever using this app.,5,2025-11-22,Bank of Abyssinia,Google Play
"Easy to install & really easy & convenient to use! Thanx BofA!😊👍 PS. only thing it needs is a DARK MODE, PLEASE.",5,2025-11-22,Bank of Abyssinia,Google Play
muy facil para usar.,5,2025-11-22,Bank of Abyssinia,Google Play
"Been having problems with the app. All I can do is look up credit card balance, transactions, and pay the balance, but none of the other links work and the AI is not helpful.",3,2025-11-22,Bank of Abyssinia,Google Play
easy to use and navigate,4,2025-11-22,Bank of Abyssinia,Google Play
exactly what I need and everything is easy,5,2025-11-22,Bank of Abyssinia,Google Play
excellent,5,2025-11-22,Bank of Abyssinia,Google Play
good,5,2025-11-22,Bank of Abyssinia,Google Play
"Can do many things, but not all, like Stopping an ACH Payment. UPDATE: I love Zelle. It's easy and I can trust it with bank level security and no fees. Yay!",5,2025-11-22,Bank of Abyssinia,Google Play
"I've been using this app for many years now, and honestly, it's been working great, I can get all my needs done and it's very user friendly! great app!!",5,2025-11-22,Bank of Abyssinia,Google Play
so far awesome a newbie here but learning as I go seems to be guiding me along peacefully so far ><> 😊 <>< FHL...,5,2025-11-22,Bank of Abyssinia,Google Play
"Great app all around. I appreciate the custom alerts. Everything works smoothly. Very handy, particularly for those of us who live in rural areas. I had previously got scammed online and my Bank of America app caught it, before I did and locked my card so they could do no further damage. Thank you!",5,2025-11-22,Bank of Abyssinia,Google Play
Excellent! Class of the field.,5,2025-11-22,Bank of Abyssinia,Google Play
very well run app can manage thru without any inconvenience,5,2025-11-22,Bank of Abyssinia,Google Play
awesome,5,2025-11-22,Bank of Abyssinia,Google Play
You guys are awesome you do your job right.,5,2025-11-22,Bank of Abyssinia,Google Play
good service,5,2025-11-22,Bank of Abyssinia,Google Play
very good,5,2025-11-22,Bank of Abyssinia,Google Play
very good and easy to use I would say it is excellent,5,2025-11-22,Bank of Abyssinia,Google Play
this is a very user friendly app.,5,2025-11-22,Bank of Abyssinia,Google Play
it's just like Google. Everytime they make an update everything gets more complicated and harder to get done what you want to do.,1,2025-11-22,Bank of Abyssinia,Google Play
Easy to access. Very easy to use.,5,2025-11-22,Bank of Abyssinia,Google Play
ease of use and very secure,5,2025-11-22,Bank of Abyssinia,Google Play
"l am sooooo grateful for this APP. With the option to call or check my info online, l love what this APP offers me. Thank you for your services.",5,2025-11-22,Bank of Abyssinia,Google Play
slow as hale.,1,2025-11-22,Bank of Abyssinia,Google Play
love it,5,2025-11-22,Bank of Abyssinia,Google Play
I want my old password,5,2025-11-22,Bank of Abyssinia,Google Play
Easy to use Does what I need it to do,5,2025-11-22,Bank of Abyssinia,Google Play
the app is easy to use except it usually asks for a darker background despite using a dark background. Sometimes it doesn't recognize the front of a business check and requires actually taking a photo.,4,2025-11-22,Bank of Abyssinia,Google Play
Always great,5,2025-11-22,Bank of Abyssinia,Google Play
works best,5,2025-11-21,Bank of Abyssinia,Google Play
"As a long-standing customer of Bank of America, I highly value this application, which offers comprehensive functionalities comparable to in-person banking services, with the exception of cash withdrawals, though I suspect a solution for that may exist. I particularly appreciate its user-friendliness, ease of use, and additional benefits such as the temporary debit card feature. This functionality significantly enhances account security. I would most definitely recommend it.",5,2025-11-21,Bank of Abyssinia,Google Play
"Thank you for making this app so easy to use, this app really helps make things easier for me, your updates are nice and easy, I liked the old way of doing Zelle it just seemed easier and I truly appreciate the way you notify me of possible fraud. I am so grateful that my sister's talked me into switching to BOA so many years ago because this is by far the best bank I ever had. Thank you for all that you do for me",5,2025-11-21,Bank of Abyssinia,Google Play
with this app I have a seamless experience I highly recommend it 😊,5,2025-11-21,Bank of Abyssinia,Google Play
Easy peezy,5,2025-11-21,Bank of Abyssinia,Google Play
"Annoying. Stop annoying me with ads, offers, and to rate the app. Regardless if that's ""how the world works"" by doing such things. It's still annoying. You want me to rate it so badly? Well here you go. edit: it just asked me again... now I'm gonna just answer 'no' to all the questions it bugs me for. like, 'no', the content of the app isn't in english, lol.",1,2025-11-21,Bank of Abyssinia,Google Play
it's tremendous i like it.,5,2025-11-21,Bank of Abyssinia,Google Play
easy to use,5,2025-11-21,Bank of Abyssinia,Google Play
simple and safe app.,5,2025-11-21,Bank of Abyssinia,Google Play
Easy to use app with all the options you need.,5,2025-11-21,Bank of Abyssinia,Google Play
cannot list deposits separately.,2,2025-11-21,Bank of Abyssinia,Google Play
Excellent!! I love B 9f A,5,2025-11-21,Bank of Abyssinia,Google Play
Alerts are always wrong. (ex) Today my balance is 468. The alert says it 770. Always late w deductions.,4,2025-11-21,Bank of Abyssinia,Google Play
always easy to access,5,2025-11-21,Bank of Abyssinia,Google Play
Easy app. Like it,5,2025-11-21,Bank of Abyssinia,Google Play
app very easy to maneuver around in,5,2025-11-21,Bank of Abyssinia,Google Play
very conventional,5,2025-11-21,Bank of Abyssinia,Google Play
Show the Digits at sign IN,3,2025-11-21,Bank of Abyssinia,Google Play
Features are limited.,2,2025-11-21,Bank of Abyssinia,Google Play
Easy to navigate,5,2025-11-21,Bank of Abyssinia,Google Play
Bank of America works great for me.They always keep tabs on my account so it does not get hacked.,5,2025-11-21,Bank of Abyssinia,Google Play
The best mobile banking app,5,2025-11-21,Bank of Abyssinia,Google Play
great bank appp but still limited,5,2025-11-21,Bank of Abyssinia,Google Play
happy,5,2025-11-21,Bank of Abyssinia,Google Play
always easy,5,2025-11-21,Bank of Abyssinia,Google Play
I love my bank,5,2025-11-21,Bank of Abyssinia,Google Play
easy to follow,5,2025-11-21,Bank of Abyssinia,Google Play
"Its one of the easiest banking apps to use. Edit 11.21.25. Still a good app, but it will force close alot .",3,2025-11-21,Bank of Abyssinia,Google Play
excellente bank app,5,2025-11-21,Bank of Abyssinia,Google Play
I love the BOA app! It's easy and convenient.,5,2025-11-21,Bank of Abyssinia,Google Play
the experience was helpful.,4,2025-11-21,Bank of Abyssinia,Google Play
best app,5,2025-11-21,Bank of Abyssinia,Google Play
a good one,5,2025-11-21,Bank of Abyssinia,Google Play
great,5,2025-11-21,Bank of Abyssinia,Google Play
Has been a good and safe app. As of the most recent Google updates the app has stopped working correctly. Whenever I'm through with my transactions and click done the whole app closes every time. Very unhappy because I liked the program and relied on it heavily. I hope there is a fix soon,2,2025-11-21,Bank of Abyssinia,Google Play
buena,4,2025-11-21,Bank of Abyssinia,Google Play
I like the service I get from the Bank and also very good with the app itself,5,2025-11-21,Bank of Abyssinia,Google Play
I use this app and its features almost daily. Bill Pay was recently downgraded so that you cannot download scheduled payments in the format as checking transitions. That was a serious step backwards for the app,4,2025-11-21,Bank of Abyssinia,Google Play
"Easy, complete, effective, informative, clear, practical.",5,2025-11-21,Bank of Abyssinia,Google Play
"Simple, smart app!",5,2025-11-21,Bank of Abyssinia,Google Play
very good thanks,5,2025-11-21,Bank of Abyssinia,Google Play
The worst bank app ever. There's no way to set up the autopay and i was charged twice for late pay. I'll close it until i hear the autopay can be set in BOA!,1,2025-11-21,Bank of Abyssinia,Google Play
"why are new updates made not to be compatible on older phones, not everyone can afford phones over 1k",1,2025-11-21,Bank of Abyssinia,Google Play
Very easy to use great app convenient good to do ur banking,5,2025-11-21,Bank of Abyssinia,Google Play
easy and helpful,5,2025-11-21,Bank of Abyssinia,Google Play
Is good app,5,2025-11-21,Bank of Abyssinia,Google Play
not now but for sure I will in the future.,5,2025-11-21,Bank of Abyssinia,Google Play
"App sucks. cannot even get all transactions within 30 or 60 days. Hardest time finding anything, even customer service number.",2,2025-11-21,Bank of Abyssinia,Google Play
good so far,5,2025-11-21,Bank of Abyssinia,Google Play
completely amazing banking app,5,2025-11-21,Bank of Abyssinia,Google Play
best bank ever!,5,2025-11-21,Bank of Abyssinia,Google Play
Simplicity,5,2025-11-21,Bank of Abyssinia,Google Play
Great and very useful and easy to navigate.,5,2025-11-20,Bank of Abyssinia,Google Play
please remove insights and all virtual assistance,4,2025-11-20,Bank of Abyssinia,Google Play
Secure and easy to use,5,2025-11-20,Bank of Abyssinia,Google Play
I like that I can transfer and check my accounts without going into my computer. I use this app quite a bit and I am happy with it. It's great for quick checking of transactions; if they came through and also I check to make sure transactions are correct. I have also been able to cash a check and do a transfer on the app.,5,2025-11-20,Bank of Abyssinia,Google Play
I can't use it,1,2025-11-20,Bank of Abyssinia,Google Play
Great card,5,2025-11-20,Bank of Abyssinia,Google Play
"Easy, fast, and economic.",5,2025-11-20,Bank of Abyssinia,Google Play
whew! Appreciate the extra help.,5,2025-11-20,Bank of Abyssinia,Google Play
outstanding,5,2025-11-20,Bank of Abyssinia,Google Play
Great 👍,5,2025-11-20,Bank of Abyssinia,Google Play
Always positive,5,2025-11-20,Bank of Abyssinia,Google Play
good,5,2025-11-30,Commercial Bank of Ethiopia,Google Play
CBE ይለያል።,5,2025-11-29,Commercial Bank of Ethiopia,Google Play
it's special for me,5,2025-11-29,Commercial Bank of Ethiopia,Google Play
Make it user friendly.,2,2025-11-29,Commercial Bank of Ethiopia,Google Play
maaliif daddafee install gaafata,3,2025-11-28,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-28,Commercial Bank of Ethiopia,Google Play
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
why didn't work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play
The app makes our life easier. Thank you CBE!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
this app very bad 👎,1,2025-11-27,Commercial Bank of Ethiopia,Google Play
the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
Good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play
It is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play
best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Commercial Bank of Ethiopia,Google Play
nice app...,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
very good banking service and fast service,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
thanks blc this app help me to use all time,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
why we can't send money to other people telebirr wallets??,1,2025-11-24,Commercial Bank of Ethiopia,Google Play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Commercial Bank of Ethiopia,Google Play
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
wow,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
you are the reason why i got ye chogara himem,1,2025-11-22,Commercial Bank of Ethiopia,Google Play
it is so smart app i recommend it for everyone,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
ዳጊ,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
absolutely right,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
mid application it's so annoying,3,2025-11-20,Commercial Bank of Ethiopia,Google Play
I used morethan one year,4,2025-11-20,Commercial Bank of Ethiopia,Google Play
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Commercial Bank of Ethiopia,Google Play
"It's great app,I love this app",5,2025-11-20,Commercial Bank of Ethiopia,Google Play
Nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
I love you this app,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Commercial Bank of Ethiopia,Google Play
make life easy,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
securr,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
My most optional bank,5,2025-11-17,Commercial Bank of Ethiopia,Google Play
5 star,5,2025-11-17,Commercial Bank of Ethiopia,Google Play
it is fantastic app.,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
sifen,5,2025-11-16,Commercial Bank of Ethiopia,Google Play
i like this√,4,2025-11-16,Commercial Bank of Ethiopia,Google Play
Ok,3,2025-11-16,Commercial Bank of Ethiopia,Google Play
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,Commercial Bank of Ethiopia,Google Play
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,Commercial Bank of Ethiopia,Google Play
Like,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
Nice and very useful app i like it!,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
Good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play
smart app,4,2025-11-12,Commercial Bank of Ethiopia,Google Play
good App,5,2025-11-12,Commercial Bank of Ethiopia,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Commercial Bank of Ethiopia,Google Play
ok,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
cbe is my choice,4,2025-11-11,Commercial Bank of Ethiopia,Google Play
Awesome,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
I am not able to transfer. The app is not responding,1,2025-11-11,Commercial Bank of Ethiopia,Google Play
Very convenient App,5,2025-11-11,Commercial Bank of Ethiopia,Google Play
excellent but sometimes can not connect,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
wow apk,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
best 100 %,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
bad app,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
best app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
wow,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
nice app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
bad app,4,2025-11-10,Commercial Bank of Ethiopia,Google Play
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
I can't access it properly I think it needs update,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
👌👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
best 👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play
good,4,2025-11-10,Commercial Bank of Ethiopia,Google Play
not Refresh,2,2025-11-10,Commercial Bank of Ethiopia,Google Play
your statement is not used as wanted,1,2025-11-10,Commercial Bank of Ethiopia,Google Play
good very good,5,2025-11-09,Commercial Bank of Ethiopia,Google Play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
Good !,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
i like it,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
Very nice app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-07,Commercial Bank of Ethiopia,Google Play
very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,Google Play
tankyu,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,Google Play
loved it,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
Ok,1,2025-11-05,Commercial Bank of Ethiopia,Google Play
this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,Google Play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,Google Play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-02,Commercial Bank of Ethiopia,Google Play
wow 😘😘😘,4,2025-11-02,Commercial Bank of Ethiopia,Google Play
mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
good job,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
good,3,2025-11-01,Commercial Bank of Ethiopia,Google Play
it is a good and clear apps to use,4,2025-10-31,Commercial Bank of Ethiopia,Google Play
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Commercial Bank of Ethiopia,Google Play
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Commercial Bank of Ethiopia,Google Play
